timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,44.370,61.750,1006.000,24.410,630.000,53.000,49.000,25668,29206,51.000
,43.930,43.910,1006.000,18.383,984.000,42.000,34.000,10502,18892,37.000
,43.410,57.850,1006.000,14.521,2379.000,25.000,17.000,22121,29206,24.000
,42.690,57.770,1006.000,15.843,2396.000,18.000,18.000,11866,21809,22.000
,42.130,55.270,1006.000,18.321,750.000,29.000,17.000,22121,29206,23.000
,41.610,47.570,1006.000,20.562,999.000,23.000,19.000,21365,29206,21.000
,40.930,33.950,1006.000,20.982,1470.000,22.000,15.000,20665,29206,16.000
,40.130,25.970,1006.000,18.947,4191.000,62.000,58.000,16883,29206,64.000
,39.310,25.250,1006.000,12.892,5937.000,16.000,17.000,6348,10003,16.000
,38.570,26.930,1007.000,11.988,7692.000,16.000,16.000,7898,13353,16.000
,37.970,28.050,1007.000,13.869,8907.000,17.000,21.000,15252,29030,17.000
,37.370,28.110,1007.000,12.662,10557.000,35.000,29.000,15252,29030,19.000
,36.690,28.330,1007.000,12.460,12140.000,28.000,31.000,12329,22785,29.000
,36.050,28.050,1007.000,12.696,13351.000,30.000,30.000,12329,22785,31.000
,35.490,27.910,1007.000,13.102,15555.000,30.000,24.000,7036,11484,31.000
,34.950,26.150,1007.000,13.268,16758.000,35.000,72.000,9023,15719,31.000
,34.470,27.030,1007.000,13.896,18747.000,23.000,16.000,9715,17223,32.000
,33.930,25.590,1007.000,14.314,19920.000,25.000,40.000,17813,29206,30.000
,33.450,34.210,1007.000,14.650,14553.000,118.000,128.000,9153,16024,128.000
,33.890,41.450,1007.000,67.472,965.000,65.000,68.000,4815,6740,64.000
,35.410,40.570,1007.000,84.503,524.000,48.000,49.000,9420,16580,48.000
,34.710,30.110,1007.000,64.088,1530.000,54.000,32.000,11226,20473,51.000
,34.810,43.610,1007.000,59.567,579.000,85.000,84.000,13358,24975,87.000
,35.330,39.590,1007.000,63.018,1468.000,86.000,85.000,16883,29206,90.000
,36.350,48.590,1007.000,67.942,540.000,60.000,51.000,32768,29206,54.000
,38.130,66.330,1007.000,70.548,393.000,51.000,51.000,32768,29206,55.000
,39.290,60.630,1007.000,58.258,434.000,41.000,35.000,32768,29206,45.000
,39.690,59.330,1007.000,49.975,546.000,35.000,31.000,32768,29206,39.000
,40.030,61.130,1007.000,41.407,1052.000,29.000,16.000,32768,29206,32.000
,40.090,64.150,1007.000,34.668,1521.000,29.000,29.000,32768,29206,31.000
,40.050,62.590,1007.000,27.278,2511.000,30.000,27.000,32768,29206,27.000
,39.630,60.230,1007.000,26.854,2026.000,34.000,43.000,32768,29206,33.000
,39.210,60.570,1007.000,28.648,3974.000,37.000,48.000,32768,29206,37.000
,38.690,60.090,1007.000,20.621,4157.000,34.000,33.000,32768,29206,35.000
,38.210,60.250,1007.000,20.622,5547.000,32.000,34.000,32768,29206,32.000
,38.110,35.770,1007.000,30.728,2590.000,36.000,42.000,8005,13558,39.000
,39.090,36.050,1007.000,59.532,627.000,83.000,80.000,7206,11822,85.000
,38.690,35.990,1007.000,37.107,3044.000,149.000,149.000,9868,17505,153.000
,38.270,35.610,1007.000,27.751,2106.000,68.000,64.000,10172,18177,66.000
,37.790,36.250,1007.000,24.759,5054.000,63.000,66.000,2407,1588,64.000
,37.250,33.570,1007.000,21.051,7388.000,62.000,22.000,3833,4654,55.000
,36.990,36.090,1007.000,42.169,2022.000,62.000,78.000,7283,12002,63.000
,37.050,35.550,1007.000,34.424,5826.000,65.000,64.000,8328,14216,68.000
,36.870,40.470,1007.000,27.692,2174.000,0.000,0.000,11866,21809,0.000
,36.830,41.070,1007.000,34.969,2535.000,11.000,4.000,10868,19695,10.000
